Name,Platform,Genre,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade
'98 Koshien,PlayStation,Sports,1998,Magical Company,0.15,0.1,0.12,0.03,0.41,1990
.hack//G.U. Vol.1//Rebirth,PlayStation,Role-Playing,2006,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,2000
.hack//G.U. Vol.2//Reminisce,PlayStation,Role-Playing,2006,Namco Bandai Games,0.11,0.09,0.0,0.03,0.23,2000
.hack//G.U. Vol.2//Reminisce (jp sales),PlayStation,Role-Playing,2006,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,2000
.hack//G.U. Vol.3//Redemption,PlayStation,Role-Playing,2007,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,2000
.hack//Infection Part 1,PlayStation,Role-Playing,2002,Atari,0.49,0.38,0.26,0.13,1.27,2000
.hack//Link,PlayStation,Role-Playing,2010,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,2010
.hack//Mutation Part 2,PlayStation,Role-Playing,2002,Atari,0.23,0.18,0.2,0.06,0.68,2000
.hack//Outbreak Part 3,PlayStation,Role-Playing,2002,Atari,0.14,0.11,0.17,0.04,0.46,2000
.hack//Quarantine Part 4: The Final Chapter,PlayStation,Role-Playing,2003,Atari,0.09,0.07,0.0,0.02,0.18,2000
.hack: Sekai no Mukou ni + Versus,PlayStation,Action,2012,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,2010
007 Racing,PlayStation,Racing,2000,Electronic Arts,0.3,0.2,0.0,0.03,0.53,2000
007: Quantum of Solace,Nintendo,Action,2008,Activision,0.11,0.01,0.0,0.01,0.14,2000
007: Quantum of Solace,PC,Action,2008,Activision,0.01,0.01,0.0,0.0,0.03,2000
007: Quantum of Solace,PlayStation,Action,2008,Activision,0.17,0.0,0.0,0.26,0.43,2000
007: Quantum of Solace,PlayStation,Action,2008,Activision,0.43,0.52,0.02,0.2,1.16,2000
007: Quantum of Solace,Nintendo,Action,2008,Activision,0.3,0.29,0.01,0.07,0.67,2000
007: Quantum of Solace,Xbox,Action,2008,Activision,0.82,0.52,0.01,0.14,1.49,2000
007: The World is not Enough,Nintendo,Action,2000,Electronic Arts,1.13,0.38,0.02,0.03,1.55,2000
007: The World is not Enough,PlayStation,Action,2000,Electronic Arts,0.51,0.35,0.0,0.06,0.92,2000
007: Tomorrow Never Dies,PlayStation,Shooter,1999,Electronic Arts,1.72,1.33,0.0,0.16,3.21,1990
1 vs. 100,Nintendo,Misc,2008,DSI Games,0.08,0.0,0.0,0.01,0.09,2000
1/2 Summer +,PlayStation,Adventure,2013,Kaga Create,0.0,0.0,0.01,0.0,0.01,2010
10 Minute Solution,Nintendo,Sports,2010,Activision,0.06,0.01,0.0,0.01,0.08,2010
